question_id,来源,题型,题干,选项,答案,解析,知识点ID,题型ID,常见错因ID,难度
Q_THE_011,附件01-05改编,解答题,圆内接四边形 ABCD 中，AB=3，BC=4，CD=5，DA=6。求 AC·BD。,"",托勒密：AC·BD = AB·CD + BC·DA = 15+24 = 39。,托勒密：AC·BD = AB·CD + BC·DA = 15+24 = 39。,K_PTOLEMY|K_POWER_OF_POINT,T_PTOLEMY,"",中
Q_THE_012,附件01-05改编,解答题,圆内接矩形长 4、宽 3。求两条对角线长度的乘积。,"",对角线均为 5 → 乘积 25（托勒密：AC·BD=AB·CD+BC·DA=3·3+4·4=25 ✓）。,对角线均为 5 → 乘积 25（托勒密：AC·BD=AB·CD+BC·DA=3·3+4·4=25 ✓）。,K_PTOLEMY|K_COSINE_RULE,T_PTOLEMY,"",中
Q_THE_013,附件01-05改编,解答题,在△ABC中，tanA=1，tanB=3。求 tanC。,"",tanC = −(1+3)/(1−3) = 2。,tanC = −(1+3)/(1−3) = 2。,K_TANGENT_IDENTITY,T_TANGENT_IDENTITY,"",中
Q_THE_014,附件01-05改编,解答题,在△ABC中，sin²A=sin²B+sin²C。判断三角形形状。,"",边化角：a²=b²+c² → A=90°，直角三角形。,边化角：a²=b²+c² → A=90°，直角三角形。,K_SINE_SQUARE_DIFF|K_SINE_RULE,T_SHAPE_JUDGE,"",中
Q_THE_015,附件01-05改编,解答题,从圆外一点 A 作切线 AT 切圆于 T，AT=4；过 A 的割线交圆于 B、C（B 在 A、C 之间），AB=2。求 AC。,"",切割线定理：AT²=AB·AC → 16=2·AC → AC=8。,切割线定理：AT²=AB·AC → 16=2·AC → AC=8。,K_POWER_OF_POINT,T_POWER_AND_CIRCLE,"",中
Q_THE_016,附件01-05改编,解答题,等腰梯形 ABCD 中，AB∥CD，AB=2，CD=6，腰 AD=BC=4，且四点共圆。求对角线 AC。,"",托勒密：AC·BD=AB·CD+BC·AD=12+16=28；等腰梯形对角线相等 → AC=2√7。,托勒密：AC·BD=AB·CD+BC·AD=12+16=28；等腰梯形对角线相等 → AC=2√7。,K_PTOLEMY|K_COSINE_RULE,T_PTOLEMY,"",中
Q_TRI_001,试点自建,解答题,在△ABC中，已知 a=2，b=√2，A=30°，求角 B。,"",,,K_SINE_RULE|K_SSA|K_TRIANGLE_EXISTENCE,"","",中
Q_TRI_002,试点自建,解答题,在△ABC中，已知 a=2，b=√2，A=30°，求角 B。,"",,,K_SINE_RULE|K_SSA|K_TRIANGLE_EXISTENCE,"","",中
Q_TRI_012,试点自建,解答题,在△ABC中，已知 a=√3，b=2，A=30°。求角 B（注意讨论解的个数）。,"",sinB = b·sinA/a = 1/√3，B ≈ 35.3° 或 144.7°，两解均满足 A+B<180°。,sinB = b·sinA/a = 1/√3，B ≈ 35.3° 或 144.7°，两解均满足 A+B<180°。,K_SINE_RULE|K_SSA|K_TRIANGLE_EXISTENCE,"","",中
Q_TRI_020,试点自建,解答题,在△ABC中，已知 a=2，b=2√2，A=30°。求角 B（注意讨论解的个数）。,"",sinB = b·sinA/a = √2/2，B = 45° 或 135°，两解均满足 A+B<180°。,sinB = b·sinA/a = √2/2，B = 45° 或 135°，两解均满足 A+B<180°。,K_SINE_RULE|K_SSA|K_TRIANGLE_EXISTENCE,"","",中
