question_id,来源,题型,题干,选项,答案,解析,知识点ID,题型ID,常见错因ID,难度
Q_TRI_331,长沙长郡中学2024 届高三月考,解答题,"已知△ABC 的内角A,B,C 的对边分别为a,b,c, a = 13,A = 2π/3 ,b > c,△ABC 的内切圆圆I 的面积为3π. (1) 求b、c 的值及cos∠ABC； (2) 若点D 在AC 上，且B,I,D 三点共线，试讨论在BC 边上是否存在点M ，使得BI ⋅BM = CI ⋅ CM ？若存在，求出点M 的位置，并求出△DBM 的面积；若不存在，请说明理由.",,"(1)b = 8,c = 7，cos∠ABC = 11 13 ；(2) 存在，位置见解析，49 3 10 .","(1) 因为△ABC 内切圆圆I 的面积为3π，可得圆I 的半径为r = 3 ， 则S△ABC = 1 2 × 3 13+b+c = 1 2 bcsin 2π/3 , ∴bc = 26 + 2 b+c ， 所以b + c = 1 2 bc - 13，由余弦定理得b² + c² - 2bccos 2π/3 = 169， 得(b + c)2- bc = 169，将b + c = 1 2 bc - 13 代入整理得：(bc)2- 56bc = 0， 解得bc = 56, ∴b + c = 15, ∵b > c, ∴b = 8,c = 7. ∴由余弦定理得：cos∠ABC = 132+72-82 2×13×7 = 11 13 . (2) 记圆I 与BC 边切于点E，根据切线长定理可求得BE = 6,CE = 7， 若BI ⋅BM = CI ⋅CM ，则BE ⋅BM = CE ⋅CM ， 即6 BM = 7 13- BM ，解得BM = 7， 所以在BC 边上存在点M ，使得BI ⋅BM = CI ⋅CM . 依题意可知I 为内心，则BD 平分∠ABC， 记∠ABD = ∠DBC = θ，则cos∠ABC = cos2θ = 11 13 ， 故cosθ = 1+cos2θ 2 = 2 39 13 ,sinθ = 1-cos2θ 2 = 13 13 ， 在△ABD 中，∠ADB = π - 2π/3 - θ = π/3 - θ， 由正弦定理得 BD sin 2π/3 = AB sin∠ADB = c sin π/3 -θ ， 又sin π/3 -θ = 3 2 cosθ - 1 2 sinθ = 5 13 26 ,c = 7， ∴BD = 7 39 5 ，S△DBM = 1 2 × BM × BD × sinθ = 1 2 × 7 × 7 39 5 × 13 13 = 49 3 10 .",K_TRI_013,T_TRI_013,E-CAL-006|E-CAL-009|E-CON-003|E-FOM-005|E-LOG-007,5
Q_TRI_332,2014·湖南·高考真题,解答题,如图所示，在平面四边形ABCD 中，AD = 1，CD = 2，AC = 7. (1) 求cos∠CAD 的值； (2) 若cos∠BAD =- 7 14 ，sin∠CBA = 21 6 ，求BC 的长．,,(1) 5 5 ；(2) 2 11,(1) 在△ABC 中，由余弦定理b² = a² + c² - 2accosB， 得b² = 9 + 2 - 2 × 3 × 2cos 45° = 5，所以b = 5． 在△ABC 中，由正弦定理 b sinB = c sinC ，得 5 sin45° = 2 sinC ，所以sinC = 5 5 ． (2) 在△ADC 中，因为cos∠ADC =- 4 5 ，所以∠ADC 为钝角． 而∠ADC + C + ∠CAD = 180°，所以C 为锐角． 故cos C = 1-sin2C = 2 5 5 ，则tanC = sinC cosC = 1 2 ． 因为cos∠ADC =- 4 5 ，所以sin∠ADC = 1-cos2∠ADC = 3 5 ， 所以tan∠ADC = sin∠ADC cos∠ADC =- 3 4 ． 从而tan∠DAC = tan(180° -∠ADC - C) =-tan(∠ADC + C) =- tan∠ADC+tanC 1-tan∠ADC×tanC =- - 3 4 + 1 2 1- - 3 4 × 1 2 = 2 11 ． 3 [长沙一中2024 高三月考] 如图，在△ABC 中，D 是BC 的中点，E 是AC 上的点，,K_TRI_014,T_TRI_014,E-CAL-010|E-FOM-008|E-MOD-005|E-STR-004|E-STR-008,4
Q_TRI_333,长沙一中2024 高三月考,解答题,如图，在△ABC 中，D 是BC 的中点，E 是AC 上的点， AC = 2AB，CD = 1，AE = 3EC，∠ADB = ∠EDC = α，则cosα = ( ) A. √3 2 B. √3 3 C. √2 3 D. √3 4,,3/4（所给四个选项均无此值，原题选项设置有误）,设AB=x，则AC=2x。D为BC中点、CD=1，故BD=DC=1。在△ABC中cosB=(x²+4-4x²)/(4x)=(4-3x²)/(4x)，在△ABD中AD²=x²+1-2x cosB=(5x²-2)/2。取DC四等分点F使DF=3/4、FC=1/4，由AE=3EC得EC/AC=FC/DC=1/4，故EF∥AD且EF=AD/4；又∠EFD=∠ADB=α=∠EDF，故ED=EF=AD/4。在△ABD中cosα=(AD²+1-x²)/(2AD)，在△EDF中cosα=3/(2AD)，于是AD²-x²=2，解得x=√2、AD=2，从而cosα=(4+1-2)/(4)=3/4。注：按题面条件严谨算得cosα=3/4，所给选项√3/2、√3/3、√2/3、√3/4均无此值，系原题选项设置有误。,K_TRI_014,T_TRI_014,E-CAL-010|E-FOM-008|E-MOD-005|E-STR-004|E-STR-008,4
Q_TRI_334,长沙长郡中学2021 届高三月考,解答题,如图，在梯形ABCD 中，AB ⎳CD，AB = 2，CD = 5， ∠ABC = 2π/3 ． (1) 若AC = 2 7 ，求梯形ABCD 的面积； (2) 若AC ⊥BD，求tan∠ABD．,,(1)7 3 ；(2)tan∠ABD = 2 3 3 ．,"(1) 设BC = x，在△ABC 中，由余弦定理AC²= AB²+ BC²- 2AB ⋅BCcos∠ABC 得： 28 = 22+ x²- 2 ⋅2 ⋅x ⋅cos 2π/3 ，即x²+ 2x - 24 = 0，而x > 0，解得x = 4， 所以BC = 4，则△ABC 的面积S△ABC = 1 2 AB ⋅BC ⋅sin∠ABC = 1 2 ⋅2 ⋅4 ⋅ 3 2 = 2 3 ， 梯形ABCD 中，AB ⎳CD，△ABC 与△ADC 等高，且CD = 5AB 2 ， 所以△ADC 的面积S△ADC = 5S△ABC 2 = 5 3 ， 则梯形ABCD 的面积S = S△ABC + S△ADC = 7 3 ； (2) 在梯形ABCD 中，设∠ABD = α，而AC ⊥BD， 则∠BDC = α，∠BAC = π/2 - α，∠DBC = 2π/3 - a，∠BCA = α - π/6 ， 在△ABC 中，由正弦定理 AB sin∠BCA = BC sin∠BAC 得： 2 sin α- π/6 = BC sin π/2 -α ， 在△BDC 中，由正弦定理 CD sin∠DBC = BC sin∠BDC 得： 5 sin 2π/3 -α = BC sinα ， 两式相除得： 2sin 2π/3 -α 5sin α- π/6 = sinα sin π/2 -α ⇒ 2⋅ 3 2 cosα+ 1 2 sinα 5⋅ 3 2 sinα- 1 2 cosα = sinα cosα ， 整理得5 3sin2α - 7sinαcosα - 2 3cos2α = 0， 即5 3tan2α - 7tanα - 2 3 = 0 解得tanα = 2 3 3 或tanα =- 3 5 ， 因为α ∈ π/6 , π/2 ，则tanα = 2 3 3 ，即tan∠ABD = 2 3 3 ．",K_TRI_014,T_TRI_014,E-CAL-010|E-FOM-008|E-MOD-005|E-STR-004|E-STR-008,4
Q_TRI_335,03解三角形中的外接圆、内切圆问题及多三角形问题.txt,解答题,. △ABC 的内角A，B，C 的对边分别为a，b，c，且满足：2bcosB ac = cosC c + cosA a . (1) 求B； (2) 若△ABC 面积为S = 2 3 ，外接圆直径为4，求△ABC 的周长.,,(1) π/6 (2) (i) 证明见解析；(ii) 证明见解析.,"(1) 若b = c，即AB = AC，得∠ABC = ∠ACB， 点P 满足∠PAB = ∠PBC = ∠PCA = θ，则∠PCB = ∠PBA， 在△PCB 和△PBA 中，∠PCB = ∠PBA，∠PAB = ∠PBC = θ， 所以△PCB 与△PBA 相似，且PB PA = 3 ， 所以BC AB = a c = 3 ，即a = 3c， 由余弦定理得：cos∠ABC = a² +c² -b² 2ac ，且a = 3c，b = c， 得cos∠ABC = 3b² +b² -b² 2 3b² = 3 2 ，且0 < B < π， 所以∠ABC = π/6 ； (2) (i) 在△ABC 内，应用余弦定理以及三角形的面积公式得： 1 tan∠BAC = cos∠BAC sin∠BAC = b² +c² -a² 2bcsin∠BAC = b² +c² -a² 4S△ABC ， 1 tan∠ABC = cos∠ABC sin∠ABC = a² +c² -b² 2acsin∠ABC = a² +c² -b² 4S△ABC ， 1 tan∠ACB = cos∠ACB sin∠ACB = a² +b² -c² 2absin∠ACB = a² +b² -c² 4S△ABC ， 三式相加可得： 1 tan∠BAC + 1 tan∠ABC + 1 tan∠ACB = a² +b² +c² 4S△ABC ① 在△PAB 内，应用余弦定理以及三角形的面积公式得： 1 tanθ = cosθ sinθ = AP²+c² -BP² 2AP⋅csinθ = AP²+c² -BP² 4S△PAB ， 在△PBC 和△PCA 内，同理：1 tanθ = BP²+a² -CP² 4S△PBC ，1 tanθ = CP²+b² -AP² 4S△PCA ， 三式相等：1 tanθ = AP²+c² -BP² 4S△PAB = BP²+a² -CP² 4S△PBC = CP²+b² -AP² 4S△PCA ， 因为S△ABC = S△PAB + S△PBC + S△PCA，由等比性质得：1 tanθ = (AP²+c² -BP2)+(BP²+a² -CP2)+(CP²+b² -AP2) 4S△PAB+4S△PBC+4S△PCA = a² +b² +c² 4S△ABC ② 由①②式可证得：1 tanθ = 1 tan∠BAC + 1 tan∠ABC + 1 tan∠ACB ； (ii) 因为S△ABC = S△PAB + S△PBC + S△PAC = 1 2 c ⋅APsinθ + 1 2 a ⋅BPsinθ + 1 2 b ⋅CPsinθ， 即S△ABC = 1 2 sinθ c⋅AP+a⋅BP+b⋅CP ， 所以c ⋅AP + a ⋅BP + b ⋅CP = 2S△ABC sinθ ， 在△PAB,△PBC,△PAC 中， 分别由余弦定理得：BP²= c² + AP²- 2c ⋅APcosθ，CP²= a² + BP²- 2a ⋅BPcosθ， AP²= b² + CP²- 2b ⋅CPcosθ， 三式相加整理得2cosθ c⋅AP+a⋅BP+b⋅CP = a² + b² + c²， a² + b² + c² = 2cosθ c⋅AP+a⋅BP+b⋅CP ， 将c ⋅AP + a ⋅BP + b ⋅CP = 2S△ABC sinθ 代入得： a² + b² + c² = 2cosθ ⋅2S△ABC sinθ 若PB 平分∠ABC，则∠ABC = 2θ，S△ABC = 1 2 acsin2θ， 所以a² + b² + c² = 2cosθ ⋅2S△ABC sinθ = 2cosθ ⋅acsin2θ sinθ = 4accos2θ ③ 又由余弦定理可得：a² + c² = b² + 2accos2θ = b² + 2ac cos2θ-sin2θ ④ 由③- ④得：b² =-b² + 2ac sin2θ+cos2θ 所以b² = ac sin2θ+cos2θ ， 所以b² = ac.",K_TRI_014,T_TRI_014,E-CAL-010|E-FOM-008|E-MOD-005|E-STR-004|E-STR-008,3
Q_TRI_336,04解三角形中的最值、范围问题.txt,填空题,"在△ABC 中，角A,B,C 的对边分别为a,b,c，已知a² + 4b² = c²，则sinA 的最大值为______.",,1 4,已知a² + 4b² = c²，则b² = 1 4 (c² - a²)， 所以由余弦定理cosA = a² +c² -b² 2ac = a² +c² - 1 4 (c² -a²) 2ac = 5a² +3c² 8ac ≥2 5a⋅ 3c 8ac = 15 4 ， 当且仅当 5a = 3c 取等号，即cosA 的最小值为 15 4 ， 则根据sin2A + cos2A = 1，可知sinA 的最大值为 1- 15 16 = 1 4 . 故答案为：1 4 . 2 [长沙长郡中学2025 高一月考]△ABC 的内角A，B，C 的对边分别为a，b，c，,K_TRI_017,T_TRI_017,E-MOD-006|E-MOD-010|E-STR-005|E-STR-010,4
Q_TRI_337,长沙长郡中学2025 高一月考,解答题,△ABC 的内角A，B，C 的对边分别为a，b，c， 已知(2c - a)cosB - bcosA = 0. (1) 求角B 的大小； (2) 若a + c = 1，求b 的取值范围.,,(1) π/3 ；(2) 1 2 ≤b < 1.,"(1) 已知(2c - a)cosB - bcosA = 0， 由正弦定理可得：2sinCcosB - sinAcosB - sinBcosA = 0， 所以2sinCcosB = sin(A + B) = sinC， 因C 为三角形内角，则sinC ≠0，所以可得cosB = 1 2 ， 又B ∈(0,π)，所以B = π/3 ． (2) 因为B = π/3 ，a + c = 1， 由余弦定理可得b² = a² + c² - 2ac ⋅cosB = (a + c)2- 3ac 因为ac ≤ a+c 2 2， 所以b2≥(a + c)2- 3 × a+c 2 2= 1 4 ， 所以b ≥1 2 ， 又b < a + c = 1， 所以1 2 ≤b < 1． 即b 的取值范围为[ 1 2 ,1)． 3 [长沙周南中学2025 高三月考] 已知△ABC 中，角A，B，C 所对的边分别为a，b，c，",K_TRI_017,T_TRI_017,E-MOD-006|E-MOD-010|E-STR-005|E-STR-010,3
Q_TRI_338,长沙周南中学2025 高三月考,解答题,已知△ABC 中，角A，B，C 所对的边分别为a，b，c， 且bsin A-C = csin B-A . (1) 证明: b² + c² = 2a2； (2) 若△ABC 面积为 3 ，求a 的最小值.,,(1) 证明见解析；(2)2,"(1) 依题意，sinB sinAcosC-sinCcosA = sinC sinBcosA-sinAcosB ， 即2sinBsinCcosA = sinA sinBcosC+sinCcosB = sinAsin B+C = sin2A， a² = 2bccosA = b² + c² - a²，故2a² = b² + c². (2)S = 1 2 bcsinA = 3 ，故bc = 2 3 sinA ， 又由余弦定理得a² = 2bccosA，故a² = 4 3 tanA ， 又cosA = b² +c² -a² 2bc = b² +c² 4bc ≥2bc 4bc = 1 2 ， 故A ∈0, π/3 ，从而a2≥4 3 3 = 4， 即a ≥2，当b = c = 2 时等号成立，则a 的最小值为2. 4 [长沙长郡中学2022 高三月考] 已知△ABC 三内角A，B，C 的对边分别为a，b，c，",K_TRI_017,T_TRI_017,E-MOD-006|E-MOD-010|E-STR-005|E-STR-010,5
Q_TRI_339,长沙长郡中学2022 高三月考,解答题,已知△ABC 三内角A，B，C 的对边分别为a，b，c， 点D 为BC 边的中点，acosB =- b+2c cosA，AD = 1. (1) 求A； (2) 求△ABC 面积的最大值.,,(1)A = 2π/3 (2) 3,"(1) 由正弦定理得：sinAcosB =- sinB+2sinC cosA， 即：sinAcosB + cosAsinB = sin A+B = sinC =-2sinCcosA， ∵C ∈0,π ，∴sinC ≠0，∴cosA =- 1 2 ， ∵A ∈0,π ，∴A = 2π/3 ， (2) ∵D 为BC 边的中点，∴AD = 1 2 AB +AC ， ∴4AD 2= AB +AC 2= AB 2+ 2AB ⋅AC + AC 2，又AD = 1 ∴4 = c² + 2bccos 2π/3 + b² = b² + c² - bc ≥2bc - bc，即bc ≤4 当且仅当b = c = 2 时取等号 ∴S△ABC = 1 2 bcsinA ≤1 2 × 4 × 3 2 = 3(当且仅当b = c = 2 时取等号) ∴△ABC 面积的最大值为 3 5 [长沙长郡中学2021 高三月考]△ABC 的内角A，B，C 的对边分别为a，b，c，",K_TRI_017,T_TRI_017,E-MOD-006|E-MOD-010|E-STR-005|E-STR-010,5
Q_TRI_340,长沙长郡中学2021 高三月考,解答题,△ABC 的内角A，B，C 的对边分别为a，b，c， 设 3bsinA = a 2+cosB ． (1) 求B； (2) 若△ABC 的面积等于 3 ，求△ABC 的周长的最小值．,,(1)B = 2π/3 ；(2)4 + 2 3,"(1) 因为 3bsinA = a(2 + cosB)， 所以 3sinBsinA = sinA(2 + cosB)， 因为sinA > 0，所以 3sinB - cosB = 2，所以2sin B- π/6 = 2， ∵B ∈(0,π)，所以B - π/6 ∈- π/6 , 5π/6 ， 所以B - π/6 = π/2 ，∴B = 2π/3 ； (2) 依题意 3ac 4 = 3 ，∴ac = 4， 所以a + c ≥2 ac = 4，当且仅当a = c = 2 时取等号， 又由余弦定理得b² = a² + c² - 2ac ⋅cosB = a² + c² + ac ≥3ac = 12， ∴b ≥2 3 ，当且仅当a = c = 2 时取等号， 所以△ABC 的周长最小值为4 + 2 3． 6 [长沙一中2022 高一期末] 在△ABC 中，角A，B，C 所对的边分别为a，b，C，",K_TRI_017,T_TRI_017,E-MOD-006|E-MOD-010|E-STR-005|E-STR-010,5
Q_TRI_341,长沙一中2022 高一期末,解答题,在△ABC 中，角A，B，C 所对的边分别为a，b，C， 且a = 4ccosB． (1) 求证：sinBcosC = 3sinCcosB； (2) 求B - C 的最大值．,,(1) 证明见解析；(2) π/6,"(1) 证明：由a = 4ccosB 得sinA = 4sinCcosB ⇒sin B+C = sinBcosC + cosBsinC = 4sinCcosB， 故sinBcosC = 3sinCcosB； (2) 由(1) 得cosB cosB = 3sinC cosC ⇒tanB = 3tanC， ∵B、C ∈0,π ，B、C、B + C ∈0,π ，tanB、tanC 同号， 故B、C ∈0, π/2 ，B > C，tanC > 0， 则tan B-C = tanB-tanC 1+tanBtanC = 2tanC 1+3tan2C = 2 1 tanC +3tanC ≤ 2 2 1 tanC ⋅3tanC = 3 3 , 当且仅当 1 tanC = 3tanC ⇒tanC = 3 3 时取等号， 故B - C 的最大值为π/6 .",K_TRI_017,T_TRI_017,E-MOD-006|E-MOD-010|E-STR-005|E-STR-010,3
Q_TRI_342,湖南五市十校教研教改共同体2024 高二期中联考,解答题,"已知a,b,c 分别为△ABC 三个内角A, B,C 的对边，且3acosC + 3csinA = 3b． (1) 求A； (2) 若a = 2，且△ABC 为锐角三角形，求△ABC 周长的取值范围．",,"(1) π/3 ；(2) 2+2 3,6","(1) 由已知和正弦定理得3sinAcosC + 3sinCsinA = 3sinB， 又sinB = sin A+C = sinAcosC + sinCcosA， ∴ 3sinCsinA = 3sinCcosA， 又sinC ≠0，∴ 3sinA = 3cosA，有tanA = 3 ， 又A ∈0,π ，∴A = π/3 ； (2) ∵a = 2，且A = π/3 ， ∴由正弦定理有 b sinB = c sinC = 2 sin π/3 = 4 3 3 ， 从而b = 4 3 3 sinB，c = 4 3 3 sinC， ∵sinC = sin A+B = sin π/3 +B ， ∴b + c = 4 3 3 sinB+sin π/3 +B = 4 3 3 3 2 sinB+ 3 2 cosB = 4sin B+ π/6 ， 又△ABC 为锐角三角形，有B ∈0, π/2 ，且A + B = π/3 + B ∈ π/2 ,π ， ∴B ∈ π/6 , π/2 ，∴B + π/6 ∈ π/3 , 2π/3 ，有sin B+ π/6 ∈ 3 2 ,1 ， 故b + c ∈2 3,4 ，从而△ABC 周长的取值范围为2+2 3,6 ． 2 [长沙雅礼中学高三月考] 在△ABC 中，角A,B,C 的对边分别为a,b,c，",K_TRI_017,T_TRI_017,E-MOD-006|E-MOD-010|E-STR-005|E-STR-010,4
Q_TRI_343,长沙雅礼中学高三月考,解答题,"在△ABC 中，角A,B,C 的对边分别为a,b,c， 若acosC + 3asinC - b - c = 0． (1) 求A； (2) 若△ABC 是锐角三角形，c = 4，求△ABC 面积的取值范围．",,"(1)A = π/3 ；(2) 2 3,8 3","(1) 由acosC + 3asinC - b - c = 0， 可知b = acosC + 3asinC - c， 从而由正弦定理得sinB = sinAcosC + 3sinAsinC - sinC. 故sinAcosC + 3sinAsinC - sinC = sinB = sin A+C = sinAcosC + sinCcosA， 这就得到 3sinAsinC - sinC = sinCcosA， 故 3sinA - 1 = cosA. 此即1 = 3sinA - cosA = 2sin A- π/6 ， 故sin A- π/6 = 1 2 ， 得A - π/6 = π/6 + 2kπ 或A - π/6 = 5π/6 + 2kπ，这里k ∈Z. 结合0 < A < π，就知道A = π/3 . (3) 由正弦定理可得b = csinB sinC = 4sin A+C sinC = 2sinC+2 3cosC sinC = 2 + 2 3 tanC ， 故S△ABC = 1 2 bcsinA = 1 2 b 3 2 = 3·b = 2 3 + 6 tanC . 而因为△ABC 为锐角三角形， 故 0< 2π/3 -C< π/2 0<C< π/2 ， 解得C 的范围是π/6 < C < π/2 . 从而tanC 的范围是tanC > 3 3 ， 故S△ABC = 2 3 + 6 tanC 的取值范围是2 3,8 3 .",K_TRI_017,T_TRI_017,E-MOD-006|E-MOD-010|E-STR-005|E-STR-010,5
Q_TRI_344,长沙长郡中学2022 高三月考,解答题,"在△ABC 中，角A，B，C 所对的边分别为a,b,c, 设S 为△ABC 的面积，满足S = 3 4 (a² + b² - c²)． (1) 求角C 的大小； (2) 求cosA + cosB + cosC 的最大值．",,(1) π/3 ；(2) 3,"(1) 由题意可知，S = 1 2 absinC = 3 4 × 2abcosC ⇒tanC = 3 ⇒C = π/3 ； (2) 由题，可得cosA + cosB + cosC = cosA + cos( 2π/3 - A) + 1 2 = cosA + (- 1 2 cosA + 3 2 sinA) + 1 2 = 3 2 sinA + 1 2 cosA + 1 2 = sin(A + π/6 ) + 1 2 ， 其中A ∈(0, 2π/3 )，则A + π/6 ∈( π/6 , 5π/6 )， 所以当A + π/6 = π/2 ，即A = π/3 时，cosA + cosB + cosC 有最大值3 2 ． 2 [湖南永州一中2025 高二月考] 在△ABC 中，角A,B,C 所对的边分别记为a,b,c，",K_TRI_017,T_TRI_017,E-MOD-006|E-MOD-010|E-STR-005|E-STR-010,5
Q_TRI_345,湖南永州一中2025 高二月考,解答题,"在△ABC 中，角A,B,C 所对的边分别记为a,b,c， 且tanA(cosC + sinB) = cosB - sinC. (1) 证明：A + 2B = π/2 ； (2) 若a = 2，求b + c 的取值范围.",,"(1) 证明见解析；(2) (2, +∞)","(1) 因为tanA(cosC + sinB) = cosB - sinC， 所以sinA cosA (cosC + sinB) = cosB - sinC， 即sinAcosC + sinAsinB = cosAcosB - cosAsinC， 即sinAcosC + cosAsinC = cosAcosB - sinAsinB，所以sin(A + C) = cos(A + B)， 又因为△ABC 中A + C = π - B，所以sinB = sin π/2 +A+B ， 所以B = π/2 + A + B 或B + π/2 + A + B = π， 又因为A ∈(0,π)，B ∈(0,π)，则A =- π/2 (舍) 或A + 2B = π/2 ，所以A + 2B = π/2 . (2) 由(1) 得A + 2B = π/2 ，因为 a sinA = b sinB = c sinC ，所以b = asinB sinA = 2sinB sinA = 2sinB sin π/2 -2B = 2sinB cos2B ，c = asinC sinA = 2sinC sinA = 2sin π/2 +B sin π/2 -2B = 2cosB cos2B ， 则b + c = 2(sinB+cosB) cos2B = 2(sinB+cosB) cos2B-sin2B = 2 cosB-sinB = 2 cos B+ π/4 ， 又由 0<B<π/0< π/2 -2B<π/0< π/2 +B<π ，解得0 < B < π/4 ，所以π/4 < B + π/4 < π/2 ，所以0 < cos B+ π/4 < 2 2 ， 所以b + c 的取值范围为(2, +∞). 3 [长沙市明德中学2024 高二月考] 在三角形ABC 中，角A，B，C 的对边分别是a，b，c，",K_TRI_017,T_TRI_017,E-MOD-006|E-MOD-010|E-STR-005|E-STR-010,4
Q_TRI_346,长沙市明德中学2024 高二月考,解答题,在三角形ABC 中，角A，B，C 的对边分别是a，b，c， 且 3acosC = 2b- 3c cosA. (1) 求角A 的大小； (2) 求cos 5π/2 -B - 2sin² C 2 的取值范围.,,(1)A=π/6；(2)(-(√3+2)/2，√3-1],"(1)由正弦定理，√3sinAcosC=(2sinB-√3sinC)cosA，移项得√3(sinAcosC+sinCcosA)=2sinBcosA，即√3sin(A+C)=2sinBcosA。因sin(A+C)=sinB≠0，故cosA=√3/2，A=π/6。(2)cos(5π/2-B)-2sin²(C/2)=sinB+cosC-1=sinB+cos(5π/6-B)-1=(3/2)sinB-(√3/2)cosB-1=√3sin(B-π/6)-1。由A=π/6知B∈(0,5π/6)，B-π/6∈(-π/6,2π/3)，故sin(B-π/6)∈(-1/2,1]（下界对应B=0三角形退化，取不到）。所以原式取值范围为(√3·(-1/2)-1，√3·1-1]=(-(√3+2)/2，√3-1]。",K_TRI_017,T_TRI_017,E-MOD-006|E-MOD-010|E-STR-005|E-STR-010,4
Q_TRI_347,湖南师范大学附属中学2022 高一月考,解答题,"锐角△ABC 的内角A，B，C 所对的边分别是a， b，c，向量m= 2a,b ，n= 3,sinB , 且m∥n. (1) 求A； (2) 若a = 3 ，求b - c 的取值范围.",,"(1)A = π/3 ；(2) -1,1","(1) 因为m∥n，所以有2asinB = 3b，由正弦定理可得：2sinAsinB = 3sinB， 又因为B ∈0, π/2 ，所以sinB ≠0，所以sinA = 3 2 ，又A ∈0, π/2 ，解得：A = π/3 ； (2) 由正弦定理可知：b sinB = c sinC = a sinA = 3 3 2 = 2， 则b - c = 2 sinB-sinC = 2 sinB-sin 2π/3 -B ， 又△ABC 为锐角三角形，故0 < B < π/2 且0 < 2π/3 - B < π/2 ，解得：π/6 < B < π/2 ， 又2 sinB-sin 2π/3 -B = sinB - 3cosB = 2sin B- π/3 ， 由于B ∈ π/6 , π/2 ，则B - π/3 ∈- π/6 , π/6 ， 由正弦函数图象可知b - c = 2sin B- π/3 ∈-1,1 .即b - c 的取值范围为-1,1 . 5 [湖南师大附中2024 高二月考] 已知△ABC 的内角A，B，C 的对边分别为a，b，c，",K_TRI_017,T_TRI_017,E-MOD-006|E-MOD-010|E-STR-005|E-STR-010,3
Q_TRI_348,湖南师大附中2024 高二月考,解答题,已知△ABC 的内角A，B，C 的对边分别为a，b，c， 且cosA + 3sinA = b+a c ． (1) 求角C； (2) 设BC 的中点为D，且AD = 3 ，求a + 2b 的取值范围．,,"(1)C = π/3 ；(2) 2 3,4 3","(1)△ABC 中，cosA + 3sinA = b+a c ， 由正弦定理得cosA + 3sinA = sinB+sinA sinC ． 所以sinCcosA + 3sinAsinC = sinB + sinA， 即sinCcosA + 3sinAsinC = sin A+C + sinA = sinAcosC + sinCcosA + sinA， 所以 3sinAsinC = sinAcosC + sinA；又A ∈0,π ，则sinA ≠0，所以 3sinC - cosC = 1， 则有sin C- π/6 = 1 2 ，又因为C ∈0,π ，则C - π/6 = π/6 ，即C = π/3 ； (2) 设∠CAD = θ，则△ACD 中，由C = π/3 可知θ ∈0, 2π/3 ， 由正弦定理及AD = 3 可得CD sinθ = AC sin 2π/3 -θ = AD sin π/3 = 2， 所以CD = 2sinθ，AC = 2sin 2π/3 -θ ， 所以a + 2b = 4sinθ + 4sin 2π/3 -θ = 6sinθ + 2 3cosθ = 4 3sin θ+ π/6 ， 由θ ∈0, 2π/3 可知，θ + π/6 ∈ π/6 , 5π/6 ，sin θ+ π/6 ∈ 1 2 ,1 ， 所以a + 2b ∈2 3,4 3 ．即a + 2b 的取值范围2 3,4 3 . 6 [长沙周南中学2025 高二期末] 设向量m= cosx,sinx",K_TRI_017,T_TRI_017,E-MOD-006|E-MOD-010|E-STR-005|E-STR-010,4
Q_TRI_349,长沙周南中学2025 高二期末,解答题,"设向量m= cosx,sinx ，n= sin x- π/6 ,cos x- π/6 ， 函数f x = cosθ.(注：θ 表示向量m、n的夹角) (1) 求函数f x ； (2) 若锐角△ABC 的三内角A,B,C 的对边分别是a,b,c，且f A = 1， (i) 求A； (ii) 求b+c a 的取值范围.",,"(1)f x = sin 2x- π/6 ；(2) (i)A = π/3 ；(ii) 3,2 .","(1) 已知向量m= cosx,sinx ,n= sin x- π/6 ,cos x- π/6 ， m⋅n= cosx ⋅sin x- π/6 + sinx ⋅cos x- π/6 = sin 2x- π/6 ， ∴f x = cosθ = m⋅n m ⋅n = sin 2x- π/6 ， (2) (i) 由(1) 知f x = sin 2x- π/6 及f A = 1，得sin 2A- π/6 = 1 ， 所以2A - π/6 = 2kπ + π/2 k∈Z ，解得A = kπ + π/3 k∈Z ， 又A ∈0, π/2 ，得A = π/3 ， (ii) A + B + C = π，A = π/3 ，则C = 2π/3 - B， ∴b+c a = sinB+sinC sinA = sinB+sin 2π/3 -B sinA = 3 2 sinB+ 3 2 cosB sinA = 3sin B+ π/6 sinA = 2sin B+ π/6 ， 又在锐角△ABC 中 0<B< π/2 0<C= 2π/3 -B< π/2 ，解得π/6 < B < π/2 ， 所以π/3 < B + π/6 < 2π/3 ，则有 3 2 < sin B+ π/6 ≤1，即 3 < b+c a ≤2. 所以b+c a 的取值范围是 3,2 . 7 [长郡中学、长沙一中、雅礼中学、湖南师大附中2023 高三“一起考”]",K_TRI_017,T_TRI_017,E-MOD-006|E-MOD-010|E-STR-005|E-STR-010,4
